playerId,playerName,club,position,gamesPlayed,goals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,tackles,errorLeadToGoal,cleanSheet,interceptions,errorLeadToShot,penaltyConceded,ownGoals,dribbledPast,clearances,totalPasses,bigChancesCreated,accurateFinalThirdPasses,accurateLongBalls,assists,accuratePassesPercentage,inaccuratePasses,accurateOppositionHalfPasses,accurateCrossesPercentage,saves,savedShotsFromInsideTheBox,punches,crossesNotClaimed,savedShotsFromOutsideTheBox,runsOut,successfulRunsOut,goalsConcededInsideTheBox,penaltyFaced,penaltySave,goalsConcededOutsideTheBox,highClaims,yellowCards,aerialDuelsWon,minutesPlayed,possessionLost,redCards,aerialDuelsWonPercentage,wasFouled,groundDuelsWon,totalDuelsWon,fouls,matchesStarted,groundDuelsWonPercentage,totalDuelsWonPercentage,dispossessed,rating
330691,Juninho,Goiás,M,18,0,12,0.0,0,0,1,2,3,0,0,0,0.0,7,5,0,0,0,0.0,46.67,4,0,0,0,26,0,5,13,0,0,0,6,15,432,3,136,12,2,76.16,103,234,26.92,0,0,0,0,0,0,0,10,0,0,1,0,1,13,1496,182,0,41.94,19,52,65,22,17,50.49,48.51,16,6.96
844601,Filipe Machado,Coritiba,M,18,0,6,0.0,0,0,0,0,2,0,0,0,0.0,8,4,0,0,0,0.0,61.54,0,0,0,0,19,1,1,24,1,0,0,6,23,774,1,108,56,1,87.73,95,313,0.0,0,0,0,0,0,0,0,7,0,0,1,0,3,5,1292,144,0,45.45,18,45,50,16,18,55.56,54.35,9,6.89
820057,Larry Vásquez,Amazonas FC,M,18,0,7,0.0,0,0,0,0,0,0,0,0,0.0,7,3,0,0,0,0.0,77.78,4,0,0,0,43,1,2,16,0,0,0,15,26,811,0,130,43,0,86.56,109,370,0.0,0,0,0,0,0,0,0,17,0,0,4,0,5,24,1541,147,0,53.33,6,56,80,27,18,52.34,52.63,8,6.85
1516708,Kauan Rodrigues,Atlético Goianiense,M,18,0,13,0.0,0,0,0,1,5,0,0,0,0.0,10,3,0,0,0,0.0,43.48,5,0,0,0,15,0,0,6,0,0,0,11,6,354,0,120,31,0,84.75,54,230,25.0,0,0,0,0,0,0,0,12,0,0,0,0,2,7,900,102,0,35.0,15,40,47,26,8,40.4,39.5,11,6.84
866574,Marlon,Novorizontino,M,18,1,14,7.14,0,0,2,0,2,0,0,0,0.0,5,7,0,1,1,0.0,50.0,5,0,0,0,17,0,0,5,3,0,0,12,7,327,3,95,9,2,85.32,48,165,38.46,0,0,0,0,0,0,0,6,0,0,0,0,4,4,873,87,0,20.0,11,33,37,22,10,45.83,40.22,1,6.78
924131,Bruno Matias,Chapecoense,M,18,0,10,0.0,0,0,0,0,2,0,0,0,0.0,4,5,0,0,0,0.0,50.0,3,0,0,0,28,0,4,10,1,0,0,25,20,704,0,95,46,0,87.64,87,261,100.0,0,0,0,0,0,0,0,15,0,0,0,0,2,10,1578,107,1,62.5,18,50,60,19,18,47.62,49.59,7,6.72
1533964,Alencar,Ferroviária,M,18,0,8,0.0,0,0,0,0,2,0,0,0,0.0,3,2,0,0,0,0.0,23.08,4,0,0,0,21,0,2,17,0,0,0,12,9,351,0,59,14,0,85.75,50,129,0.0,0,0,0,0,0,0,0,7,0,0,1,0,0,5,887,105,0,31.25,25,48,53,5,9,52.75,49.53,16,6.68
358540,Gabriel Boschilia,Operário-PR,M,17,4,51,7.84,8,0,1,4,15,2,0,4,100.0,16,16,2,3,0,0.0,42.11,20,0,1,1,22,0,4,2,0,0,0,18,8,649,7,214,40,3,87.52,81,425,33.8,0,0,0,0,0,0,0,14,0,0,2,0,4,7,1428,207,0,28.0,30,68,75,31,17,40.72,39.06,28,7.25
1105790,Figueiredo,América Mineiro,M,17,2,43,4.65,7,0,9,1,22,0,0,0,0.0,24,11,0,2,2,0.0,48.0,10,0,0,0,12,0,1,5,1,0,0,9,16,434,5,156,23,3,76.5,102,243,17.72,0,0,0,0,0,0,0,14,0,0,4,0,0,16,1330,267,0,32.65,29,65,81,21,15,44.52,41.54,27,7.21
1465222,João Vitor,Avaí,M,17,1,46,2.17,6,0,0,0,9,0,1,0,0.0,19,19,0,0,1,16.67,55.88,18,0,1,0,20,0,1,12,0,0,0,12,25,654,2,171,59,1,78.9,138,347,30.65,0,0,0,0,0,0,0,13,0,0,4,0,4,14,1307,229,0,48.28,13,52,66,17,16,50.0,49.62,9,7.15
1444694,Cauan Barros,América Mineiro,M,17,3,26,11.54,0,2,1,1,9,0,0,0,0.0,13,12,0,2,1,0.0,61.9,5,0,1,1,20,0,1,10,0,0,0,12,33,826,0,136,61,0,85.96,116,342,14.29,0,0,0,0,0,0,0,17,0,0,3,0,6,41,1399,166,0,62.12,35,66,107,36,15,50.38,54.31,13,7.14
1017710,Pierre,Volta Redonda,M,17,0,16,0.0,0,0,0,1,3,0,0,0,0.0,6,3,0,0,0,0.0,54.55,10,0,0,0,37,0,3,13,0,0,0,14,20,945,1,237,48,1,88.68,107,529,41.18,0,0,0,0,0,0,0,14,0,0,4,0,8,8,1488,143,0,40.0,37,80,88,19,17,63.49,60.27,9,7.13
1092354,Bruno Zapelli,Athletico,M,17,3,34,8.82,4,0,1,2,10,1,0,1,100.0,17,11,1,3,2,0.0,50.0,13,0,0,0,17,0,0,16,0,0,0,14,5,488,4,132,29,4,76.23,116,276,30.0,0,0,0,0,0,0,0,12,0,0,1,0,3,15,1101,249,0,57.69,15,49,64,11,13,41.53,44.44,27,7.11
840218,Danielzinho,CRB,M,17,0,19,0.0,0,0,0,1,4,0,0,0,0.0,12,7,0,0,0,0.0,54.55,8,0,0,0,15,0,0,10,0,0,0,15,11,699,4,263,27,4,85.98,98,436,34.48,0,0,0,0,0,0,0,11,0,0,3,0,5,2,1347,160,0,50.0,13,40,42,19,17,44.94,45.16,6,7.11
973845,Higor Meritão,CRB,M,17,1,29,3.45,0,0,1,3,4,0,0,1,0.0,12,14,0,1,0,0.0,60.0,11,0,0,1,37,0,5,23,2,0,0,43,32,822,1,136,41,1,87.71,101,344,50.0,0,0,0,0,0,0,0,13,0,0,4,0,4,18,1522,149,0,58.06,16,65,83,39,17,39.39,42.35,11,7.04
